dt,equity,buy_hold
2018-01-01 00:00:00+00:00,10000.0,9985.007496251874
2018-01-01 04:00:00+00:00,10000.0,9620.458135361809
2018-01-01 08:00:00+00:00,10000.0,9940.498187799618
2018-01-01 12:00:00+00:00,10000.0,9705.98076924287
2018-01-01 16:00:00+00:00,10000.0,9477.524009780056
2018-01-01 20:00:00+00:00,10000.0,9448.725133234415
2018-01-02 00:00:00+00:00,10000.0,9655.862127373888
2018-01-02 04:00:00+00:00,10000.0,9707.291762876665
2018-01-02 08:00:00+00:00,10000.0,9578.133816299209
2018-01-02 12:00:00+00:00,10000.0,9778.851956362836
2018-01-02 16:00:00+00:00,10000.0,9919.873320741184
2018-01-02 20:00:00+00:00,10000.0,10456.506714840916
2018-01-03 00:00:00+00:00,10000.0,10593.258395034884
2018-01-03 04:00:00+00:00,10000.0,10714.758132899084
2018-01-03 08:00:00+00:00,10000.0,11010.913743943069
2018-01-03 12:00:00+00:00,10000.0,10556.199542206376
2018-01-03 16:00:00+00:00,10000.0,10636.83639653417
2018-01-03 20:00:00+00:00,10000.0,10627.143640323658
2018-01-04 00:00:00+00:00,10000.0,10618.023996084208
2018-01-04 04:00:00+00:00,10000.0,10924.946948284438
2018-01-04 08:00:00+00:00,10000.0,10638.390962755664
2018-01-04 12:00:00+00:00,10000.0,10337.299424860947
2018-01-04 16:00:00+00:00,10000.0,10488.737099313264
2018-01-04 20:00:00+00:00,10000.0,10588.530221273659
2018-01-05 00:00:00+00:00,10000.0,10766.62476627979
2018-01-05 04:00:00+00:00,10000.0,10821.120550827723
2018-01-05 08:00:00+00:00,10000.0,10735.16808296837
2018-01-05 12:00:00+00:00,10000.0,11482.298340137899
2018-01-05 16:00:00+00:00,10000.0,11450.075119565188
2018-01-05 20:00:00+00:00,10000.0,11725.455421658338
2018-01-06 00:00:00+00:00,10000.0,12121.31818786706
2018-01-06 04:00:00+00:00,10000.0,11866.999750710276
2018-01-06 08:00:00+00:00,10000.0,11841.639545990978
2018-01-06 12:00:00+00:00,10000.0,11955.115716260372
2018-01-06 16:00:00+00:00,10000.0,11804.587857062112
2018-01-06 20:00:00+00:00,10000.0,12015.88707689139
2018-01-07 00:00:00+00:00,10000.0,12222.164403074274
2018-01-07 04:00:00+00:00,10000.0,12035.344228308792
2018-01-07 08:00:00+00:00,10000.0,11766.712319674842
2018-01-07 12:00:00+00:00,10000.0,12026.353534262826
2018-01-07 16:00:00+00:00,10000.0,11828.859149036396
2018-01-07 20:00:00+00:00,10000.0,11528.92099898343
2018-01-08 00:00:00+00:00,10000.0,11784.521774175455
2018-01-08 04:00:00+00:00,10000.0,11440.74055833659
2018-01-08 08:00:00+00:00,10000.0,11326.11816412508
2018-01-08 12:00:00+00:00,10000.0,11003.46328831932
2018-01-08 16:00:00+00:00,10000.0,10296.515344220565
2018-01-08 20:00:00+00:00,10000.0,10680.435889732375
2018-01-09 00:00:00+00:00,10000.0,10554.487370192839
2018-01-09 04:00:00+00:00,10000.0,10942.634616491201
2018-01-09 08:00:00+00:00,10000.0,10760.59276278441
2018-01-09 12:00:00+00:00,10000.0,10465.726653675303
2018-01-09 16:00:00+00:00,10000.0,10397.02485614478
2018-01-09 20:00:00+00:00,10000.0,10565.161580653788
2018-01-10 00:00:00+00:00,10000.0,10309.252757777318
2018-01-10 04:00:00+00:00,10000.0,10240.214256963798
2018-01-10 08:00:00+00:00,10000.0,10215.1907555275
2018-01-10 12:00:00+00:00,10000.0,9918.734260698708
2018-01-10 16:00:00+00:00,10000.0,9912.84553519609
2018-01-10 20:00:00+00:00,10000.0,10405.850780499066
2018-01-11 00:00:00+00:00,10000.0,10404.983948642841
2018-01-11 04:00:00+00:00,10000.0,10207.554038513155
2018-01-11 08:00:00+00:00,10000.0,9594.245426585563
2018-01-11 12:00:00+00:00,10000.0,9507.44045466926
2018-01-11 16:00:00+00:00,10000.0,9961.395283044303
2018-01-11 20:00:00+00:00,10000.0,9816.569887958061
2018-01-12 00:00:00+00:00,10000.0,9399.021997544449
2018-01-12 04:00:00+00:00,10000.0,9629.405846009944
2018-01-12 08:00:00+00:00,10000.0,9831.363340710985
2018-01-12 12:00:00+00:00,10000.0,9986.483259577348
2018-01-12 16:00:00+00:00,10000.0,9983.560388524955
2018-01-12 20:00:00+00:00,10000.0,9685.592310872498
2018-01-13 00:00:00+00:00,10000.0,9771.5161231333
2018-01-13 04:00:00+00:00,10000.0,10136.917988080315
2018-01-13 08:00:00+00:00,10000.0,10194.95273904953
2018-01-13 12:00:00+00:00,10000.0,10190.661563166235
2018-01-13 16:00:00+00:00,10000.0,10317.147375178636
2018-01-13 20:00:00+00:00,10000.0,10212.124606482339
2018-01-14 00:00:00+00:00,10000.0,10225.72885189532
2018-01-14 04:00:00+00:00,10000.0,10212.776521349419
2018-01-14 08:00:00+00:00,10000.0,9912.659273805497
2018-01-14 12:00:00+00:00,10000.0,9695.034330595672
2018-01-14 16:00:00+00:00,10000.0,9724.155582625031
2018-01-14 20:00:00+00:00,10000.0,9716.47588221286
2018-01-15 00:00:00+00:00,10000.0,9732.157658520924
2018-01-15 04:00:00+00:00,10000.0,9703.652501860448
2018-01-15 08:00:00+00:00,10000.0,9874.067346454409
2018-01-15 12:00:00+00:00,10000.0,9878.043310753621
2018-01-15 16:00:00+00:00,10000.0,10136.93231587959
2018-01-15 20:00:00+00:00,10000.0,9988.037825798841
2018-01-16 00:00:00+00:00,10000.0,9892.256487635848
2018-01-16 04:00:00+00:00,10000.0,9429.63334069856
2018-01-16 08:00:00+00:00,10000.0,9426.180341072937
2018-01-16 12:00:00+00:00,10000.0,8460.443686443148
2018-01-16 16:00:00+00:00,10000.0,8596.672401963526
2018-01-16 20:00:00+00:00,10000.0,8277.54932867941
2018-01-17 00:00:00+00:00,10000.0,8037.895394082058
2018-01-17 04:00:00+00:00,10000.0,7869.558080383182
2018-01-17 08:00:00+00:00,10000.0,8084.460741730484
2018-01-17 12:00:00+00:00,10000.0,7214.76332565066
2018-01-17 16:00:00+00:00,10000.0,6805.704656308339
2018-01-17 20:00:00+00:00,10000.0,7006.551746565455
2018-01-18 00:00:00+00:00,10000.0,7997.319066531184
2018-01-18 04:00:00+00:00,10000.0,8404.350352275891
2018-01-18 08:00:00+00:00,10000.0,8036.634547745732
2018-01-18 12:00:00+00:00,10000.0,8099.3186695801505
2018-01-18 16:00:00+00:00,10000.0,8581.56373762652
2018-01-18 20:00:00+00:00,10000.0,8445.055630020253
2018-01-19 00:00:00+00:00,10000.0,8114.20525302837
2018-01-19 04:00:00+00:00,10000.0,7944.8363377815895
2018-01-19 08:00:00+00:00,10000.0,8310.754003502554
2018-01-19 12:00:00+00:00,10000.0,8533.637249046835
2018-01-19 16:00:00+00:00,10000.0,8263.46510199067
2018-01-19 20:00:00+00:00,10000.0,8073.722056172793
2018-01-20 00:00:00+00:00,10000.0,8093.401288478981
2018-01-20 04:00:00+00:00,10000.0,8417.560583208766
2018-01-20 08:00:00+00:00,10000.0,8926.584308102802
2018-01-20 12:00:00+00:00,10000.0,9040.898654629866
2018-01-20 16:00:00+00:00,10000.0,9050.756180532057
2018-01-20 20:00:00+00:00,10000.0,9290.152214742431
2018-01-21 00:00:00+00:00,10000.0,9223.41332571278
2018-01-21 04:00:00+00:00,10000.0,9010.688489855494
2018-01-21 08:00:00+00:00,10000.0,8617.01071303643
2018-01-21 12:00:00+00:00,10000.0,8451.610598189223
2018-01-21 16:00:00+00:00,10000.0,8433.851290986076
2018-01-21 20:00:00+00:00,10000.0,8249.173122212422
2018-01-22 00:00:00+00:00,10000.0,8053.648809386503
2018-01-22 04:00:00+00:00,10000.0,8295.709814262294
2018-01-22 08:00:00+00:00,10000.0,8334.502330803252
2018-01-22 12:00:00+00:00,10000.0,8394.621776567188
2018-01-22 16:00:00+00:00,10000.0,7693.927916852597
2018-01-22 20:00:00+00:00,10000.0,7514.056724736187
2018-01-23 00:00:00+00:00,10000.0,7665.351121195739
2018-01-23 04:00:00+00:00,10000.0,7722.683810000409
2018-01-23 08:00:00+00:00,10000.0,7414.636125556979
2018-01-23 12:00:00+00:00,10000.0,7423.512197208732
2018-01-23 16:00:00+00:00,10000.0,7486.991511902994
2018-01-23 20:00:00+00:00,10000.0,8048.626915740111
2018-01-24 00:00:00+00:00,10000.0,7916.10910023233
2018-01-24 04:00:00+00:00,10000.0,7715.777810749166
2018-01-24 08:00:00+00:00,10000.0,7851.490725495591
2018-01-24 12:00:00+00:00,10000.0,7897.447141674769
2018-01-24 16:00:00+00:00,10000.0,8095.2065911878135
2018-01-24 20:00:00+00:00,10000.0,7914.4900589140925
2018-01-25 00:00:00+00:00,10000.0,7961.721649228872
2018-01-25 04:00:00+00:00,10000.0,8284.1830997444
2018-01-25 08:00:00+00:00,10000.0,8220.57483485665
2018-01-25 12:00:00+00:00,10000.0,8109.534390464251
2018-01-25 16:00:00+00:00,10000.0,8009.153828733522
2018-01-25 20:00:00+00:00,10000.0,8057.2235953059735
2018-01-26 00:00:00+00:00,10000.0,7987.819735610906
2018-01-26 04:00:00+00:00,10000.0,8302.959680696173
2018-01-26 08:00:00+00:00,10000.0,8152.1094460141885
2018-01-26 12:00:00+00:00,10000.0,7545.255507660631
2018-01-26 16:00:00+00:00,10000.0,7759.721171130003
2018-01-26 20:00:00+00:00,10000.0,7914.0387332368855
2018-01-27 00:00:00+00:00,10000.0,7740.6723619919785
2018-01-27 04:00:00+00:00,10000.0,7989.668021717566
2018-01-27 08:00:00+00:00,10000.0,8101.002185995133
2018-01-27 12:00:00+00:00,10000.0,8034.155838470908
2018-01-27 16:00:00+00:00,10000.0,7879.021591805268
2018-01-27 20:00:00+00:00,10000.0,8199.075972042354
2018-01-28 00:00:00+00:00,10000.0,8222.000450884656
2018-01-28 04:00:00+00:00,10000.0,8190.486456376128
2018-01-28 08:00:00+00:00,10000.0,8559.735335428866
2018-01-28 12:00:00+00:00,10000.0,8390.35209238281
2018-01-28 16:00:00+00:00,10000.0,8313.798660848797
2018-01-28 20:00:00+00:00,10000.0,8310.116416434754
2018-01-29 00:00:00+00:00,10000.0,8397.336894530074
2018-01-29 04:00:00+00:00,10000.0,8181.173386846444
2018-01-29 08:00:00+00:00,10000.0,8075.190655598627
2018-01-29 12:00:00+00:00,10000.0,8083.271534390539
2018-01-29 16:00:00+00:00,10000.0,8030.803133440221
2018-01-29 20:00:00+00:00,10000.0,8046.119550866733
2018-01-30 00:00:00+00:00,10000.0,7913.315179373424
2018-01-30 04:00:00+00:00,10000.0,7825.750834095471
2018-01-30 08:00:00+00:00,10000.0,7813.930399692409
2018-01-30 12:00:00+00:00,10000.0,7773.024532758176
2018-01-30 16:00:00+00:00,10000.0,7530.025057029777
2018-01-30 20:00:00+00:00,10000.0,7128.402515511927
2018-01-31 00:00:00+00:00,10000.0,7236.262188464957
2018-01-31 04:00:00+00:00,10000.0,7159.744576429137
2018-01-31 08:00:00+00:00,10000.0,7156.083823714006
2018-01-31 12:00:00+00:00,10000.0,7265.197179103724
2018-01-31 16:00:00+00:00,10000.0,7099.4245414753295
2018-01-31 20:00:00+00:00,10000.0,7145.646021941121
2018-02-01 00:00:00+00:00,10000.0,7195.521091222403
2018-02-01 04:00:00+00:00,10000.0,7238.031671675597
2018-02-01 08:00:00+00:00,10000.0,7200.399706876031
2018-02-01 12:00:00+00:00,10000.0,6703.75520055684
2018-02-01 16:00:00+00:00,10000.0,6656.516446342421
2018-02-01 20:00:00+00:00,10000.0,6426.017975482715
2018-02-02 00:00:00+00:00,10000.0,6367.847110420374
2018-02-02 04:00:00+00:00,10000.0,6324.476862010595
2018-02-02 08:00:00+00:00,10000.0,6107.210113782679
2018-02-02 12:00:00+00:00,10000.0,5794.29097758526
2018-02-02 16:00:00+00:00,10000.0,6176.169811700178
2018-02-02 20:00:00+00:00,10000.0,6146.625889592162
2018-02-03 00:00:00+00:00,10000.0,6274.437023037633
2018-02-03 04:00:00+00:00,10000.0,6091.8435490587
2018-02-03 08:00:00+00:00,10000.0,6179.608483526524
2018-02-03 12:00:00+00:00,10000.0,6288.607216522031
2018-02-03 16:00:00+00:00,10000.0,6692.371764031708
2018-02-03 20:00:00+00:00,10000.0,6724.55200120659
2018-02-04 00:00:00+00:00,10000.0,6518.145724830216
2018-02-04 04:00:00+00:00,10000.0,6492.112113544927
2018-02-04 08:00:00+00:00,10000.0,6607.9093872971025
2018-02-04 12:00:00+00:00,10000.0,6278.441642935397
2018-02-04 16:00:00+00:00,10000.0,6175.174029650467
2018-02-04 20:00:00+00:00,10000.0,5947.218743162328
2018-02-05 00:00:00+00:00,10000.0,6009.45153931954
2018-02-05 04:00:00+00:00,10000.0,5745.440345952243
2018-02-05 08:00:00+00:00,10000.0,5766.939208766539
2018-02-05 12:00:00+00:00,10000.0,5456.735190532005
2018-02-05 16:00:00+00:00,10000.0,5244.898678229861
2018-02-05 20:00:00+00:00,10000.0,4927.050779081346
2018-02-06 00:00:00+00:00,10000.0,4865.921223468421
2018-02-06 04:00:00+00:00,10000.0,4571.212720151355
2018-02-06 08:00:00+00:00,10000.0,4477.444437786703
2018-02-06 12:00:00+00:00,10000.0,4620.364235569177
2018-02-06 16:00:00+00:00,10000.0,5157.291349554077
2018-02-06 20:00:00+00:00,10000.0,5131.00700178145
2018-02-07 00:00:00+00:00,10000.0,5496.860192405671
2018-02-07 04:00:00+00:00,10000.0,5276.885490114509
