side,entry_time,entry_price,exit_time,exit_price,exit_reason,ret,pnl,bars_held
long,2018-04-15 04:00:00+00:00,8007.391695,2018-04-21 00:00:00+00:00,8856.5695,TP,0.10417735250763689,1041.773525076369,35
long,2018-07-07 08:00:00+00:00,6594.245475,2018-07-10 12:00:00+00:00,6361.847485,SL,-0.025924135616909857,-286.2484343152846,19
long,2018-08-28 08:00:00+00:00,6882.469515,2018-09-01 20:00:00+00:00,7249.5034350000005,TP,0.05396522731299215,580.4243563935124,27
long,2018-09-23 16:00:00+00:00,6743.37,2018-09-24 08:00:00+00:00,6666.665,SL,-0.0205672632984569,-233.14945701762554,4
long,2018-09-28 12:00:00+00:00,6767.52207,2018-09-28 16:00:00+00:00,6650.203235,SL,-0.020361973893410105,-226.074923542923,1
long,2018-10-08 16:00:00+00:00,6592.2444749999995,2018-10-10 08:00:00+00:00,6487.924415,SL,-0.012829108682332883,-139.5386879871894,10
long,2018-12-22 16:00:00+00:00,3904.4512499999996,2018-12-25 16:00:00+00:00,3747.455335,SL,-0.051700006534360965,-555.1126059346261,18
long,2019-02-11 04:00:00+00:00,3625.8720299999995,2019-02-12 04:00:00+00:00,3564.5968100000005,SL,-0.0180094251536238,-183.3732955176165,6
long,2019-06-13 20:00:00+00:00,8197.846875,2019-06-15 16:00:00+00:00,8785.874865000002,TP,0.07079476403178434,707.8556409046505,11
long,2019-08-04 12:00:00+00:00,10702.18842,2019-08-05 04:00:00+00:00,11572.51085,TP,0.06913038347576286,740.1483301462122,4
long,2019-09-06 00:00:00+00:00,10539.657194999998,2019-09-06 20:00:00+00:00,10368.683065000001,SL,-0.02604364486857218,-298.113905564569,5
long,2019-09-13 08:00:00+00:00,10395.505154999999,2019-09-14 00:00:00+00:00,10363.465675,SL,-0.02520518991516707,-281.00234191369964,4
long,2019-10-27 04:00:00+00:00,9267.351359999999,2019-11-08 16:00:00+00:00,8760.787415,SL,-0.05647277548640623,-613.7228685383852,75
long,2019-12-29 08:00:00+00:00,7294.155255,2019-12-31 20:00:00+00:00,7136.21011,SL,-0.02091327184602306,-214.44187316457646,15
long,2020-01-05 08:00:00+00:00,7444.790534999999,2020-01-07 04:00:00+00:00,7896.619715,TP,0.05480814076175305,550.2421341090467,11
long,2020-04-04 04:00:00+00:00,6740.728679999999,2020-04-23 16:00:00+00:00,7534.870680000001,TP,0.11477002285196938,1215.3761621186222,117
long,2020-05-29 00:00:00+00:00,9463.139205,2020-06-02 00:00:00+00:00,10198.53818,TP,0.06494187303026058,766.6415227864945,24
long,2020-06-24 04:00:00+00:00,9622.688939999998,2020-06-24 12:00:00+00:00,9300.297525000002,SL,-0.018071933284491644,-227.1946214744694,2
long,2020-07-13 20:00:00+00:00,9297.28632,2020-07-14 04:00:00+00:00,9209.67286,EXIT,-0.011414128330297394,-140.9015776979213,2
long,2020-07-22 12:00:00+00:00,9304.900125,2020-07-23 00:00:00+00:00,9534.740245,TP,0.025236648638109396,307.9776392339136,3
long,2020-08-31 20:00:00+00:00,11750.57235,2020-09-01 04:00:00+00:00,11687.03356,SL,-0.017305974489549417,-216.524819835784,2
long,2020-09-19 20:00:00+00:00,11095.555005,2020-09-20 04:00:00+00:00,10938.9278,SL,-0.019656334245854497,-241.67541380639705,2
long,2020-09-30 04:00:00+00:00,10845.42,2020-09-30 12:00:00+00:00,10673.060800000001,SL,-0.018235780852818143,-219.80251327771293,2
long,2020-10-09 08:00:00+00:00,10892.52354,2020-10-10 04:00:00+00:00,11409.262515,TP,0.034696060268528256,410.5779793434267,5
long,2021-02-03 00:00:00+00:00,35331.606974999995,2021-02-06 12:00:00+00:00,40031.95401000001,TP,0.12312091187642149,1507.5096758509717,21
long,2021-03-28 08:00:00+00:00,56123.857905,2021-04-10 08:00:00+00:00,60411.039370000006,TP,0.08546546646256417,1175.2911499478378,78
long,2021-05-03 12:00:00+00:00,58871.110844999996,2021-05-04 00:00:00+00:00,57193.75881500001,SL,-0.03157759812215692,-471.35693702794197,3
long,2021-05-05 20:00:00+00:00,57728.85,2021-05-06 20:00:00+00:00,56152.769570000004,SL,-0.0418430203782653,-604.8652891673155,6
long,2021-06-16 04:00:00+00:00,40187.013464999996,2021-06-16 16:00:00+00:00,38750.03529,SL,-0.04269113822509763,-591.3029401403965,3
long,2021-07-26 00:00:00+00:00,34396.1895,2021-07-26 04:00:00+00:00,38321.84949,TP,0.0662187288648509,878.0216471840758,1
long,2021-09-19 12:00:00+00:00,48192.44418,2021-09-19 16:00:00+00:00,47651.02257,SL,-0.024925045145770375,-352.3762618804758,1
long,2021-09-19 20:00:00+00:00,47671.41379499999,2021-09-20 04:00:00+00:00,45537.030095,SL,-0.02603512220120167,-358.8957475633997,2
long,2021-10-03 08:00:00+00:00,47964.53027999999,2021-10-06 00:00:00+00:00,51475.439405000005,TP,0.0749952282135602,1006.8983267862441,16
long,2021-12-27 12:00:00+00:00,50987.621069999994,2021-12-28 04:00:00+00:00,49759.317895,SL,-0.023806802555425468,-343.6050947883359,4
long,2022-03-18 12:00:00+00:00,40607.75373,2022-03-24 16:00:00+00:00,43971.50325,TP,0.07267184473145046,1023.9069389887736,37
long,2022-07-18 12:00:00+00:00,22259.374125,2022-07-18 20:00:00+00:00,21604.1925,SL,-0.03513830696565489,-531.0580733668685,2
long,2022-10-05 16:00:00+00:00,20041.015499999998,2022-10-07 16:00:00+00:00,19570.210000000003,SL,-0.023863086087559743,-347.97885553726155,12
long,2022-10-26 04:00:00+00:00,20106.048,2022-10-26 16:00:00+00:00,20830.5795,TP,0.04196047405852591,597.2791713371826,3
long,2022-12-09 04:00:00+00:00,17212.602,2022-12-12 04:00:00+00:00,16891.55,SL,-0.01466920583465041,-217.56790564013681,18
long,2023-01-08 00:00:00+00:00,16944.468,2023-01-09 04:00:00+00:00,17182.4045,TP,0.014550933790867674,212.64792489948195,7
long,2023-03-15 08:00:00+00:00,24831.409499999998,2023-03-19 20:00:00+00:00,28332.826500000003,TP,0.12494341485598587,1852.4969897930896,27
long,2023-04-29 12:00:00+00:00,29388.686999999998,2023-05-01 04:00:00+00:00,28558.7135,SL,-0.026812347616575943,-447.20809733844,10
long,2023-05-04 16:00:00+00:00,29188.587,2023-05-06 16:00:00+00:00,28619.683,SL,-0.023297856115754946,-378.17025466881023,12
long,2023-05-31 00:00:00+00:00,27876.9315,2023-05-31 08:00:00+00:00,27162.412,SL,-0.017985766941074212,-285.1428655679265,2
long,2023-09-17 04:00:00+00:00,26584.285499999998,2023-09-19 16:00:00+00:00,27415.2855,TP,0.03089567745328658,481.0044044110364,15
long,2023-09-27 16:00:00+00:00,26772.3795,2023-09-27 20:00:00+00:00,26227.879500000003,SL,-0.02086324599948239,-334.8481687113035,1
long,2023-09-28 20:00:00+00:00,27040.513499999997,2023-10-02 00:00:00+00:00,27981.002500000002,TP,0.033094597886991234,520.0756384516408,19
long,2024-01-31 20:00:00+00:00,42875.426999999996,2024-02-01 04:00:00+00:00,42094.942,SL,-0.020362706284771194,-330.5864051031276,2
long,2024-03-25 04:00:00+00:00,67241.60399999999,2024-04-02 12:00:00+00:00,65590.1885,SL,-0.03328543201681899,-529.3817933868031,50
long,2024-07-16 16:00:00+00:00,63815.892,2024-07-22 00:00:00+00:00,68123.921,TP,0.063099010751666,970.142692173753,32
long,2024-09-15 08:00:00+00:00,60238.104,2024-09-15 20:00:00+00:00,59100.435000000005,SL,-0.019054971528703408,-311.4548400635158,3
long,2024-10-14 04:00:00+00:00,64317.142499999994,2024-10-15 12:00:00+00:00,65959.004,TP,0.043291102412604525,694.1128681605715,8
